Ozone,Temp,Wind,Solar.R,Month,Day
41,67,7.4,190,5,1
36,72,8.0,118,5,2
12,74,12.6,149,5,3
18,62,11.5,313,5,4
,56,14.3,,5,5
28,66,14.9,,5,6
23,65,8.6,299,5,7
19,59,13.8,99,5,8
8,61,20.1,19,5,9
,69,8.6,194,5,10
7,74,6.9,,5,11
16,69,9.7,256,5,12
11,66,9.2,290,5,13
14,68,10.9,274,5,14
18,58,13.2,65,5,15
14,64,11.5,334,5,16
34,66,12.0,307,5,17
6,57,18.4,78,5,18
30,68,11.5,322,5,19
11,62,9.7,44,5,20
1,59,9.7,8,5,21
11,73,16.6,320,5,22
4,61,9.7,25,5,23
32,61,12.0,92,5,24
,57,16.6,66,5,25
,58,14.9,266,5,26
,57,8.0,,5,27
23,67,12.0,13,5,28
45,81,14.9,252,5,29
115,79,5.7,223,5,30
37,76,7.4,279,5,31
,78,8.6,286,6,1
,74,9.7,287,6,2
,67,16.1,242,6,3
,84,9.2,186,6,4
,85,8.6,220,6,5
,79,14.3,264,6,6
29,82,9.7,127,6,7
,87,6.9,273,6,8
71,90,13.8,291,6,9
39,87,11.5,323,6,10
,93,10.9,259,6,11
,92,9.2,250,6,12
23,82,8.0,148,6,13
,80,13.8,332,6,14
,79,11.5,322,6,15
21,77,14.9,191,6,16
37,72,20.7,284,6,17
20,65,9.2,37,6,18
12,73,11.5,120,6,19
13,76,10.3,137,6,20
,77,6.3,150,6,21
,76,1.7,59,6,22
,76,4.6,91,6,23
,76,6.3,250,6,24
,75,8.0,135,6,25
,78,8.0,127,6,26
,73,10.3,47,6,27
,80,11.5,98,6,28
,77,14.9,31,6,29
,83,8.0,138,6,30
135,84,4.1,269,7,1
49,85,9.2,248,7,2
32,81,9.2,236,7,3
,84,10.9,101,7,4
64,83,4.6,175,7,5
40,83,10.9,314,7,6
77,88,5.1,276,7,7
97,92,6.3,267,7,8
97,92,5.7,272,7,9
85,89,7.4,175,7,10
,82,8.6,139,7,11
10,73,14.3,264,7,12
27,81,14.9,175,7,13
,91,14.9,291,7,14
7,80,14.3,48,7,15
48,81,6.9,260,7,16
35,82,10.3,274,7,17
61,84,6.3,285,7,18
79,87,5.1,187,7,19
63,85,11.5,220,7,20
16,74,6.9,7,7,21
,81,9.7,258,7,22
,82,11.5,295,7,23
80,86,8.6,294,7,24
108,85,8.0,223,7,25
20,82,8.6,81,7,26
52,86,12.0,82,7,27
82,88,7.4,213,7,28
50,86,7.4,275,7,29
64,83,7.4,253,7,30
59,81,9.2,254,7,31
39,81,6.9,83,8,1
9,81,13.8,24,8,2
16,82,7.4,77,8,3
78,86,6.9,,8,4
35,85,7.4,,8,5
66,87,4.6,,8,6
122,89,4.0,255,8,7
89,90,10.3,229,8,8
110,90,8.0,207,8,9
,92,8.6,222,8,10
,86,11.5,137,8,11
44,86,11.5,192,8,12
28,82,11.5,273,8,13
65,80,9.7,157,8,14
,79,11.5,64,8,15
22,77,10.3,71,8,16
59,79,6.3,51,8,17
23,76,7.4,115,8,18
31,78,10.9,244,8,19
44,78,10.3,190,8,20
21,77,15.5,259,8,21
9,72,14.3,36,8,22
,75,12.6,255,8,23
45,79,9.7,212,8,24
168,81,3.4,238,8,25
73,86,8.0,215,8,26
,88,5.7,153,8,27
76,97,9.7,203,8,28
118,94,2.3,225,8,29
84,96,6.3,237,8,30
85,94,6.3,188,8,31
96,91,6.9,167,9,1
78,92,5.1,197,9,2
73,93,2.8,183,9,3
91,93,4.6,189,9,4
47,87,7.4,95,9,5
32,84,15.5,92,9,6
20,80,10.9,252,9,7
23,78,10.3,220,9,8
21,75,10.9,230,9,9
24,73,9.7,259,9,10
44,81,14.9,236,9,11
21,76,15.5,259,9,12
28,77,6.3,238,9,13
9,71,10.9,24,9,14
13,71,11.5,112,9,15
46,78,6.9,237,9,16
18,67,13.8,224,9,17
13,76,10.3,27,9,18
24,68,10.3,238,9,19
16,82,8.0,201,9,20
13,64,12.6,238,9,21
23,71,9.2,14,9,22
36,81,10.3,139,9,23
7,69,10.3,49,9,24
14,63,16.6,20,9,25
30,70,6.9,193,9,26
,77,13.2,145,9,27
14,75,14.3,191,9,28
18,76,8.0,131,9,29
20,68,11.5,223,9,30
