Ozone,Temp,Wind,Solar.R,Month,Day
41,67,7.4,190,5,1
36,72,8.0,118,5,2
12,74,12.6,149,5,3
18,62,11.5,313,5,4
23,65,8.6,299,5,7
19,59,13.8,99,5,8
8,61,20.1,19,5,9
16,69,9.7,256,5,12
11,66,9.2,290,5,13
14,68,10.9,274,5,14
18,58,13.2,65,5,15
14,64,11.5,334,5,16
34,66,12.0,307,5,17
6,57,18.4,78,5,18
30,68,11.5,322,5,19
11,62,9.7,44,5,20
1,59,9.7,8,5,21
11,73,16.6,320,5,22
4,61,9.7,25,5,23
32,61,12.0,92,5,24
23,67,12.0,13,5,28
45,81,14.9,252,5,29
115,79,5.7,223,5,30
37,76,7.4,279,5,31
29,82,9.7,127,6,7
