treat,re78,age,educ,race,married,nodegree,re74,re75
1,9930.046,37,11,black,1,1,0.0,0.0
1,3595.894,22,9,hispan,0,1,0.0,0.0
1,24909.45,30,12,black,0,0,0.0,0.0
1,7506.146,27,11,black,0,1,0.0,0.0
1,289.7899,33,8,black,0,1,0.0,0.0
1,4056.494,22,9,black,0,1,0.0,0.0
1,0.0,23,12,black,0,0,0.0,0.0
1,8472.158,32,11,black,0,1,0.0,0.0
1,2164.022,22,16,black,0,0,0.0,0.0
1,12418.07,33,12,white,1,0,0.0,0.0
1,8173.908,19,9,black,0,1,0.0,0.0
1,17094.64,21,13,black,0,0,0.0,0.0
1,0.0,18,8,black,0,1,0.0,0.0
1,18739.93,27,10,black,1,1,0.0,0.0
1,3023.879,17,7,black,0,1,0.0,0.0
1,3228.503,19,10,black,0,1,0.0,0.0
1,14581.86,27,13,black,0,0,0.0,0.0
1,7693.4,23,10,black,0,1,0.0,0.0
1,10804.32,40,12,black,0,0,0.0,0.0
1,10747.35,26,12,black,0,0,0.0,0.0
1,0.0,23,11,black,0,1,0.0,0.0
1,5149.501,41,14,white,0,0,0.0,0.0
1,6408.95,38,9,white,0,1,0.0,0.0
1,1991.4,24,11,black,0,1,0.0,0.0
1,11163.17,18,10,black,0,1,0.0,0.0
1,9642.999,29,11,black,1,1,0.0,0.0
1,9897.049,25,11,black,0,1,0.0,0.0
1,11142.87,27,10,hispan,0,1,0.0,0.0
1,16218.04,17,10,black,0,1,0.0,0.0
1,995.7002,24,11,black,0,1,0.0,0.0
1,0.0,17,10,black,0,1,0.0,0.0
1,6551.592,48,4,black,0,1,0.0,0.0
1,1574.424,25,11,black,1,1,0.0,0.0
1,0.0,20,12,black,0,0,0.0,0.0
1,3191.753,25,12,black,0,0,0.0,0.0
1,20505.93,42,14,black,0,0,0.0,0.0
1,6181.88,25,5,black,0,1,0.0,0.0
1,5911.551,23,12,black,1,0,0.0,0.0
1,3094.156,46,8,black,1,1,0.0,0.0
1,0.0,24,10,black,0,1,0.0,0.0
1,1254.582,21,12,black,0,0,0.0,0.0
1,13188.83,19,9,white,0,1,0.0,0.0
1,8061.485,17,8,black,0,1,0.0,0.0
1,2787.96,18,8,hispan,1,1,0.0,0.0
1,3972.54,20,11,black,0,1,0.0,0.0
1,0.0,25,11,black,1,1,0.0,0.0
1,0.0,17,8,black,0,1,0.0,0.0
1,0.0,17,9,black,0,1,0.0,0.0
1,12187.41,25,5,black,0,1,0.0,0.0
1,4843.176,23,12,black,0,0,0.0,0.0
1,0.0,28,8,black,0,1,0.0,0.0
1,8087.487,31,11,black,1,1,0.0,0.0
1,0.0,18,11,black,0,1,0.0,0.0
1,2348.973,25,12,black,0,0,0.0,0.0
1,590.7818,30,11,black,1,1,0.0,0.0
1,0.0,17,10,black,0,1,0.0,0.0
1,1067.506,37,9,black,0,1,0.0,0.0
1,7284.986,41,4,black,1,1,0.0,0.0
1,13167.52,42,14,black,1,0,0.0,0.0
1,1048.432,22,11,white,0,1,0.0,0.0
1,0.0,17,8,black,0,1,0.0,0.0
1,1923.938,29,8,black,0,1,0.0,0.0
1,4666.236,35,10,black,0,1,0.0,0.0
1,549.2984,27,11,black,0,1,0.0,0.0
1,762.9146,29,4,black,0,1,0.0,0.0
1,10694.29,28,9,black,0,1,0.0,0.0
1,0.0,27,11,black,0,1,0.0,0.0
1,0.0,23,7,white,0,1,0.0,0.0
1,8546.715,45,5,black,1,1,0.0,0.0
1,7479.656,29,13,black,0,0,0.0,0.0
1,0.0,27,9,black,0,1,0.0,0.0
1,647.2046,46,13,black,0,0,0.0,0.0
1,0.0,18,6,black,0,1,0.0,0.0
1,11965.81,25,12,black,0,0,0.0,0.0
1,9598.541,28,15,black,0,0,0.0,0.0
1,18783.35,25,11,white,0,1,0.0,0.0
1,18678.08,22,12,black,0,0,0.0,0.0
1,0.0,21,9,black,0,1,0.0,0.0
1,23005.6,40,11,black,0,1,0.0,0.0
1,6456.697,22,11,black,0,1,0.0,0.0
1,0.0,25,12,black,0,0,0.0,0.0
1,2321.107,18,12,black,0,0,0.0,0.0
1,4941.849,38,12,white,0,0,0.0,0.0
1,0.0,27,13,black,0,0,0.0,0.0
1,0.0,27,8,black,0,1,0.0,0.0
1,0.0,38,11,black,0,1,0.0,0.0
1,3881.284,23,8,hispan,0,1,0.0,0.0
1,17230.96,26,11,black,0,1,0.0,0.0
1,8048.603,21,12,white,0,0,0.0,0.0
1,0.0,25,8,black,0,1,0.0,0.0
1,14509.93,31,11,black,1,1,0.0,0.0
1,0.0,17,10,black,0,1,0.0,0.0
1,0.0,25,11,black,0,1,0.0,0.0
1,9983.784,21,12,black,0,0,0.0,0.0
1,0.0,44,11,black,0,1,0.0,0.0
1,5587.503,25,12,white,0,0,0.0,0.0
1,4482.845,18,9,black,0,1,0.0,0.0
1,2456.153,42,12,black,0,0,0.0,0.0
1,0.0,25,10,black,0,1,0.0,0.0
1,26817.6,31,9,hispan,0,1,0.0,0.0
1,0.0,24,10,black,0,1,0.0,0.0
1,9265.788,26,10,black,0,1,0.0,0.0
1,485.2298,25,11,black,0,1,0.0,0.0
1,4814.627,18,11,black,0,1,0.0,0.0
1,7458.105,19,11,black,0,1,0.0,0.0
1,0.0,43,9,black,0,1,0.0,0.0
1,34099.28,27,13,black,0,0,0.0,0.0
1,1953.268,17,9,black,0,1,0.0,0.0
1,0.0,30,11,black,0,1,0.0,0.0
1,0.0,26,10,black,1,1,2027.999,0.0
1,8881.665,20,9,black,0,1,6083.994,0.0
1,6210.67,17,9,hispan,0,1,445.1704,74.34345
1,0.0,20,12,black,0,0,989.2678,165.2077
1,929.8839,18,11,black,0,1,858.2543,214.5636
1,0.0,27,12,black,1,0,3670.872,334.0493
1,12558.02,21,12,white,0,0,3670.872,334.0494
1,22163.25,27,12,black,0,0,2143.413,357.9499
1,1652.637,20,12,black,0,0,0.0,377.5686
1,8124.715,19,10,black,0,1,0.0,385.2741
1,671.3318,23,12,black,0,0,5506.308,501.0741
1,17814.98,29,14,black,0,0,0.0,679.6734
1,9737.154,18,10,black,0,1,0.0,798.9079
1,17685.18,19,9,black,0,1,0.0,798.9079
1,0.0,27,13,white,1,0,9381.566,853.7225
1,4321.705,18,11,white,0,1,3678.231,919.5579
1,1773.423,27,9,black,1,1,0.0,934.4454
1,0.0,22,12,black,0,0,5605.852,936.1773
1,11233.26,23,10,black,1,1,0.0,936.4386
