treat,re78,age,educ,race,married,nodegree,re74,re75
1,9930.046,37,11,black,1,1,0.0,0.0
1,3595.894,22,9,hispan,0,1,0.0,0.0
1,24909.45,30,12,black,0,0,0.0,0.0
1,7506.146,27,11,black,0,1,0.0,0.0
1,289.7899,33,8,black,0,1,0.0,0.0
1,4056.494,22,9,black,0,1,0.0,0.0
1,0.0,23,12,black,0,0,0.0,0.0
1,8472.158,32,11,black,0,1,0.0,0.0
1,2164.022,22,16,black,0,0,0.0,0.0
1,12418.07,33,12,white,1,0,0.0,0.0
1,8173.908,19,9,black,0,1,0.0,0.0
1,17094.64,21,13,black,0,0,0.0,0.0
1,0.0,18,8,black,0,1,0.0,0.0
1,18739.93,27,10,black,1,1,0.0,0.0
1,3023.879,17,7,black,0,1,0.0,0.0
1,3228.503,19,10,black,0,1,0.0,0.0
1,14581.86,27,13,black,0,0,0.0,0.0
1,7693.4,23,10,black,0,1,0.0,0.0
1,10804.32,40,12,black,0,0,0.0,0.0
1,10747.35,26,12,black,0,0,0.0,0.0
1,0.0,23,11,black,0,1,0.0,0.0
1,5149.501,41,14,white,0,0,0.0,0.0
1,6408.95,38,9,white,0,1,0.0,0.0
1,1991.4,24,11,black,0,1,0.0,0.0
1,11163.17,18,10,black,0,1,0.0,0.0
