treat,depress2,job_seek,age,sex,educ,nonwhite,marital
1,1.7272727489471436,4.833333492279053,34.16712188720703,1,gradwk,non.white1,married
1,2.0,3.8333332538604736,26.101369857788086,0,somcol,white0,nevmarr
1,2.1818182468414307,4.5,35.02191925048828,1,somcol,non.white1,nevmarr
0,1.545454502105713,3.6666667461395264,27.4876708984375,0,bach,white0,married
1,2.3636362552642822,2.5,31.610958099365234,1,highsc,non.white1,separtd
1,1.1818181276321411,4.0,40.4383544921875,0,highsc,white0,married
0,1.454545497894287,4.333333492279053,51.06575393676758,1,gradwk,white0,married
0,3.0,4.333333492279053,49.147945404052734,1,somcol,white0,married
0,1.6363636255264282,3.6666667461395264,30.619178771972656,1,gradwk,non.white1,nevmarr
1,1.6363636255264282,3.3333332538604736,33.34520721435547,0,highsc,non.white1,separtd
1,2.0,4.666666507720947,44.10411071777344,0,bach,white0,married
1,2.4000000953674316,4.166666507720947,35.33150863647461,1,somcol,non.white1,married
1,1.7272727489471436,2.0,25.958904266357422,1,somcol,white0,nevmarr
1,1.6363636255264282,3.6666667461395264,27.668493270874023,0,bach,non.white1,nevmarr
1,2.6363637447357178,4.333333492279053,26.298629760742188,1,somcol,white0,nevmarr
1,1.7272727489471436,4.0,29.591781616210938,0,bach,non.white1,nevmarr
1,1.9090908765792847,4.333333492279053,42.04931640625,1,highsc,white0,nevmarr
1,1.454545497894287,4.333333492279053,39.67671203613281,1,somcol,white0,divrcd
0,3.1818182468414307,4.833333492279053,18.27397346496582,1,highsc,non.white1,nevmarr
0,1.7272727489471436,2.5,23.317808151245117,1,somcol,non.white1,nevmarr
1,1.545454502105713,5.0,45.43287658691406,1,bach,non.white1,separtd
0,1.9090908765792847,4.166666507720947,39.610958099365234,0,somcol,white0,nevmarr
1,1.3636363744735718,2.8333332538604736,36.24109649658203,0,somcol,white0,divrcd
1,3.454545497894287,4.0,42.31232833862305,1,bach,non.white1,divrcd
1,2.0,3.8333332538604736,50.68767166137695,0,bach,white0,married
1,1.1818181276321411,5.0,46.926029205322266,1,somcol,non.white1,divrcd
1,1.9090908765792847,3.1666667461395264,43.31232833862305,0,somcol,white0,nevmarr
1,1.8181818723678589,3.1666667461395264,47.073970794677734,1,gradwk,white0,widowed
0,2.8181817531585693,3.8333332538604736,55.99726104736328,1,lt-hs,white0,married
1,1.3636363744735718,4.0,37.643836975097656,0,somcol,white0,married
0,1.2727272510528564,4.0,39.74794387817383,1,highsc,white0,nevmarr
0,1.454545497894287,3.6666667461395264,51.26575469970703,0,somcol,white0,divrcd
1,1.454545497894287,5.0,34.887672424316406,0,somcol,white0,nevmarr
1,1.0,4.5,64.22465515136719,1,highsc,white0,married
1,1.2727272510528564,5.0,48.4438362121582,0,gradwk,white0,married
0,2.909090995788574,4.833333492279053,25.202739715576172,0,highsc,white0,nevmarr
1,2.090909004211426,4.5,35.56712341308594,0,highsc,white0,divrcd
0,1.3636363744735718,3.8333332538604736,36.830135345458984,1,somcol,white0,married
0,3.454545497894287,3.5,27.060274124145508,1,somcol,white0,nevmarr
1,2.7272727489471436,3.799999952316284,41.22739791870117,1,somcol,white0,married
0,1.2727272510528564,4.5,42.65479278564453,1,somcol,white0,married
0,1.0,4.166666507720947,42.5369873046875,1,highsc,white0,divrcd
1,1.7272727489471436,4.5,37.99452209472656,0,somcol,white0,nevmarr
0,3.6363637447357178,4.0,54.70410919189453,1,highsc,white0,widowed
0,1.3636363744735718,4.0,44.51506805419922,1,somcol,non.white1,married
0,1.454545497894287,4.833333492279053,40.939727783203125,1,somcol,white0,separtd
0,3.0,2.8333332538604736,34.1178092956543,1,bach,white0,married
0,3.0,2.5,20.01917839050293,0,highsc,white0,nevmarr
1,1.545454502105713,3.3333332538604736,42.27397155761719,1,highsc,white0,married
1,1.2727272510528564,4.0,36.98630142211914,0,bach,white0,nevmarr
1,1.0,4.166666507720947,57.28493118286133,0,highsc,white0,married
1,2.1818182468414307,5.0,39.879451751708984,0,somcol,white0,separtd
1,1.2727272510528564,5.0,23.47945213317871,0,highsc,white0,nevmarr
1,3.0,3.6666667461395264,50.9561653137207,1,lt-hs,white0,separtd
0,1.545454502105713,3.1666667461395264,43.120548248291016,0,somcol,white0,nevmarr
0,2.2727272510528564,3.8333332538604736,37.75068664550781,0,highsc,white0,divrcd
