treat,depress2,job_seek,age,sex,educ,nonwhite,marital
1,1.7272727489471436,4.833333492279053,34.16712188720703,1,gradwk,non.white1,married
1,2.0,3.8333332538604736,26.101369857788086,0,somcol,white0,nevmarr
1,2.1818182468414307,4.5,35.02191925048828,1,somcol,non.white1,nevmarr
0,1.545454502105713,3.6666667461395264,27.4876708984375,0,bach,white0,married
1,2.3636362552642822,2.5,31.610958099365234,1,highsc,non.white1,separtd
1,1.1818181276321411,4.0,40.4383544921875,0,highsc,white0,married
0,1.454545497894287,4.333333492279053,51.06575393676758,1,gradwk,white0,married
0,3.0,4.333333492279053,49.147945404052734,1,somcol,white0,married
0,1.6363636255264282,3.6666667461395264,30.619178771972656,1,gradwk,non.white1,nevmarr
1,1.6363636255264282,3.3333332538604736,33.34520721435547,0,highsc,non.white1,separtd
1,2.0,4.666666507720947,44.10411071777344,0,bach,white0,married
1,2.4000000953674316,4.166666507720947,35.33150863647461,1,somcol,non.white1,married
1,1.7272727489471436,2.0,25.958904266357422,1,somcol,white0,nevmarr
1,1.6363636255264282,3.6666667461395264,27.668493270874023,0,bach,non.white1,nevmarr
1,2.6363637447357178,4.333333492279053,26.298629760742188,1,somcol,white0,nevmarr
1,1.7272727489471436,4.0,29.591781616210938,0,bach,non.white1,nevmarr
1,1.9090908765792847,4.333333492279053,42.04931640625,1,highsc,white0,nevmarr
1,1.454545497894287,4.333333492279053,39.67671203613281,1,somcol,white0,divrcd
0,3.1818182468414307,4.833333492279053,18.27397346496582,1,highsc,non.white1,nevmarr
0,1.7272727489471436,2.5,23.317808151245117,1,somcol,non.white1,nevmarr
1,1.545454502105713,5.0,45.43287658691406,1,bach,non.white1,separtd
0,1.9090908765792847,4.166666507720947,39.610958099365234,0,somcol,white0,nevmarr
1,1.3636363744735718,2.8333332538604736,36.24109649658203,0,somcol,white0,divrcd
1,3.454545497894287,4.0,42.31232833862305,1,bach,non.white1,divrcd
1,2.0,3.8333332538604736,50.68767166137695,0,bach,white0,married
