Animal_ID,Age,Sex,vaccine,weight_kg,Total_Worms
6618,3_months,M,1,52.0,150
6630,3_months,M,1,57.800000000000004,2950
6651,3_months,M,1,55.2,4800
6655,3_months,M,1,61.800000000000004,600
6854,3_months,F,1,44.2,650
6858,3_months,F,1,47.800000000000004,1850
6867,3_months,F,1,46.800000000000004,1400
6938,3_months,F,1,47.6,1050
6565,3_months,M,1,47.4,6300
6615,3_months,M,1,49.800000000000004,1000
6622,3_months,M,1,60.800000000000004,1000
6642,3_months,M,1,54.4,600
6917,3_months,F,1,49.800000000000004,2800
6925,3_months,F,1,53.4,1700
6937,3_months,F,1,44.4,3350
6570,3_months,M,0,49.0,2100
6624,3_months,M,0,53.2,9150
6629,3_months,M,0,52.800000000000004,11800
6641,3_months,M,0,58.4,4900
6866,3_months,F,0,46.2,5900
6906,3_months,F,0,43.6,800
6908,3_months,F,0,49.0,4000
6912,3_months,F,0,57.4,1900
6588,3_months,M,0,55.2,3500
6625,3_months,M,0,46.6,4500
6626,3_months,M,0,44.800000000000004,9800
6634,3_months,M,0,54.6,4600
6915,3_months,F,0,51.2,3300
6931,3_months,F,0,52.6,5600
6935,3_months,F,0,50.4,4500
6940,3_months,F,0,53.6,17550
6572,6_months,M,1,52.300000000000004,0
6614,6_months,M,1,51.2,600
6621,6_months,M,1,53.2,400
6636,6_months,M,1,53.2,3050
6855,6_months,F,1,39.2,100
6901,6_months,F,1,51.6,800
6916,6_months,F,1,50.0,650
6927,6_months,F,1,43.4,150
6576,6_months,M,1,42.6,0
6647,6_months,M,1,46.2,100
6652,6_months,M,1,52.0,2250
6905,6_months,F,1,44.2,200
6910,6_months,F,1,43.4,2150
6911,6_months,F,1,50.4,650
6928,6_months,F,1,54.800000000000004,1250
6583,6_months,M,0,43.2,350
6628,6_months,M,0,56.2,1300
6632,6_months,M,0,48.6,200
6644,6_months,M,0,50.0,3950
6852,6_months,F,0,40.0,550
6933,6_months,F,0,51.0,1350
6936,6_months,F,0,40.8,400
6942,6_months,F,0,52.6,2600
6595,6_months,M,0,49.2,5450
6635,6_months,M,0,50.4,3350
6639,6_months,M,0,53.4,10750
6653,6_months,M,0,48.300000000000004,1250
6902,6_months,F,0,53.800000000000004,750
6923,6_months,F,0,40.2,2200
6934,6_months,F,0,39.1,1350
6939,6_months,F,0,49.4,3550
